fight_id,fighter_id,opening,closing_range_min,closing_range_max
bd1fc4ff619f4e61,029eaff01e6bb8f0,-145,-155,-154
bfae2fb50efbdb0f,029eaff01e6bb8f0,-130,-125,-123
c27e33ee8ef53866,029eaff01e6bb8f0,105,-165,-125
d7507e2741fd4d05,029eaff01e6bb8f0,110,-110,-102
db690563ae7fa070,029eaff01e6bb8f0,-325,-225,-225
e86a77b69d50a834,029eaff01e6bb8f0,-210,-185,-180
e88c59ad88e9dc27,029eaff01e6bb8f0,-240,-305,-270
f8dd1e75978a3957,029eaff01e6bb8f0,-165,-250,-220
f930743af6564795,029eaff01e6bb8f0,-165,-255,-250
73240bea13ed5e71,02bb48869eb7ac8f,-305,-225,-210
acde7c89bd724af8,02bb48869eb7ac8f,-120,-167,-155
b20640f9b2634de1,02bb48869eb7ac8f,144,-375,-333
02ace8fdd83c6480,02f2a9702ba3d167,110,-135,-135
06287b822837a616,02f2a9702ba3d167,155,144,150
1123fceef316106e,02f2a9702ba3d167,-180,-165,-165
b29ed164b3014a42,02f2a9702ba3d167,365,450,475
d101d2ed58a7cf84,02f2a9702ba3d167,-170,-140,-138
e202f273220aa533,02f2a9702ba3d167,220,445,500
e4795ab9bdd6fb38,02f2a9702ba3d167,180,220,225
7fc5f1dc2df84ac7,02f484417a6fa69d,-205,-110,-102
96cc199d78732d11,02f484417a6fa69d,126,130,155
069df63733dcf697,02f8fedc18cbd26c,-298,-420,-375
0c9faf26efe2cdcc,02f8fedc18cbd26c,-120,-160,-130
85a130a4b655c8f5,02f8fedc18cbd26c,-400,-420,-375
924f982f0d9d2142,02f8fedc18cbd26c,170,115,128
b1af3bd0f8266a90,02f8fedc18cbd26c,-135,-184,-155
01a4827b3596d111,032cc3922d871c7f,-240,-455,-400
3eea92e7f26fb05b,032cc3922d871c7f,-245,-194,-189
59eea37af7efb06c,032cc3922d871c7f,-350,-303,-270
7651b2e09ea2c420,032cc3922d871c7f,-150,-200,-190
781b4b6951df64fe,032cc3922d871c7f,-705,-1000,-900
8360accf6f70ebc4,032cc3922d871c7f,105,-110,-110
9d1722fb8b83a92a,032cc3922d871c7f,-175,-310,-305
a88a4c126d585320,032cc3922d871c7f,-260,-410,-360
c26806c2d554e50c,032cc3922d871c7f,-350,-345,-325
ca2b48fd007126e0,032cc3922d871c7f,-260,-275,-265
ded18af0e4eae2f7,032cc3922d871c7f,135,143,145
e1d33aa47b35d021,032cc3922d871c7f,-350,-305,-300
eab7b76e177e1903,032cc3922d871c7f,-1050,-640,-640
1df12710cfdb60f4,0359313549d230a1,-140,-160,-160
b46679306287ea79,0359313549d230a1,253,180,180
cfbeeffd65101ae1,0359313549d230a1,180,180,180
eca400aeeb2763d1,036e96c1c12b8a59,-104,-138,-120
c039953c2f438832,03c9994c5b8958ec,110,-150,-150
e094423979fc7c6a,03c9994c5b8958ec,-280,-345,-345
edc4e54d5258eea8,03c9994c5b8958ec,180,210,235
15ce105716441c54,03f982ca3735070c,-135,-164,-150
